keyword,emotion,score
emmanuel macron,,0
free trade agreements,,0
https,,0
audiovisual services,,0
hard border,sadness,0.619607
harder borde,sadness,0.619607
amp,sadness,0.619607
deal,sadness,0.619607
ireland,sadness,0.619607
uk,sadness,0.619607
free movement,disgust,0.383992
brexit,disgust,0.383992
sovereignty,disgust,0.383992
amp,disgust,0.383992
current e,disgust,0.383992
prime minister,sadness,0.269092
body,sadness,0.404733
member,sadness,0.404733
corinthians,sadness,0.269092
memb,sadness,0.424388
mps voting,sadness,0.546094
general election,sadness,0.546094
party politics,sadness,0.546094
theresa,sadness,0.546094
withdrawal agreement,sadness,0.546094
conservative anna soubry,disgust,0.767937
speaker john bercow of double standards,disgust,0.767937
male tory mp,disgust,0.767937
female lab,disgust,0.767937
brexiteer mps,disgust,0.374361
tweets,disgust,0.374361
minds,disgust,0.374361
amp,disgust,0.374361
theresa,disgust,0.374361
deal,disgust,0.374361
last night,joy,0.364771
last year,disgust,0.229233
way,disgust,0.229233
deal,joy,0.364771
table,joy,0.364771
mps,disgust,0.229233
exac,disgust,0.229233
lab mps,disgust,0.218751
con,disgust,0.218751
amp,disgust,0.218751
manifestos,disgust,0.218751
brexit,disgust,0.218751
public,sadness,0.404071
brexit website,anger,0.221494
government,anger,0.221494
https://t.co/mrpmh9lxlj,anger,0.221494
mps head,joy,0.346775
standup4brexit,joy,0.328094
evening,joy,0.346775
voting,joy,0.346775
uk mps vote,fear,0.854699
deal,fear,0.854699
table,fear,0.854699
eu,fear,0.854699
parliament,sadness,0.545571
brexit happening,sadness,0.545571
remainers,sadness,0.545571
disg,,0
hypocritical woman,disgust,0.2775
prime minister,sadness,0.348062
geoffrey cox,disgust,0.461879
changes,sadness,0.348062
last night,sadness,0.348062
honourable man,disgust,0.461879
watch,joy,0.446017
idea,joy,0.446017
article,joy,0.446017
withdra,joy,0.446017
half of the debt,sadness,0.280028
eu companies,sadness,0.280028
equity,sadness,0.280028
theresa,joy,0.259021
speech,joy,0.259021
uk,sadness,0.280028
facts,sadness,0.507907
@pada1r,,0
@pada1r,,0
accurate picture of our economy,sadness,0.31636
chief economist,sadness,0.31636
gers,sadness,0.31636
snp,sadness,0.31636
statistics,sadness,0.31636
commonwealth pivot,,0
brexit,,0
"https://t.co/46p3wszpmv,",,0
clear plan,joy,0.409308
new approach,fear,0.507552
article,joy,0.409308
progress,joy,0.409308
conservatives,joy,0.409308
red l,joy,0.409308
bbc news,sadness,0.38992
government,sadness,0.38992
brexit ferry case,sadness,0.38992
week,sadness,0.555788
panel,sadness,0.555788
issue,joy,0.59188
wto,joy,0.59188
new zealand govt's special trade envoy,sadness,0.555788
trq,joy,0.59188
brexit,joy,0.58117
further concessions,joy,0.655966
pivot,,0
government,anger,0.299908
eu,joy,0.655966
irish border issue,sadness,0.592198
problem,sadness,0.592198
leavers,sadness,0.424077
efta,sadness,0.424077
brexit debate,joy,0.328924
insight,joy,0.328924
washington,joy,0.328924
london,joy,0.328924
brusse,joy,0.328924
national humiliation of prime minister theresa,sadness,0.723032
extension,sadness,0.723032
article,sadness,0.723032
eu,sadness,0.723032
shoor,sadness,0.723032
wi,sadness,0.723032
barnier plays,joy,0.786691
next friday morning,joy,0.786414
wto,joy,0.786414
excellent game of poker,joy,0.786691
donald trump jr,,0
administration,sadness,0.446352
likes of mr juncker,sadness,0.446352
brexit,,0
friends,sadness,0.446352
sammy wilson’s ridiculous claim,anger,0.694068
irish economy,anger,0.694068
dupingnoone https://t.co/6pajg,,0
phd opportunity,disgust,0.446295
prof john struthers,disgust,0.446295
retweet h,disgust,0.446295
response tp,sadness,0.323467
paddies,sadness,0.323467
stance of the brexit negotiators,sadness,0.323467
new repoinvestinginthefuture,joy,0.286528
peel group,joy,0.286528
government,joy,0.286528
investment,joy,0.286528
region,joy,0.286528
challenge of brexit,joy,0.496351
buil,joy,0.496351
remarks,disgust,0.627342
leader,disgust,0.627342
amp,disgust,0.627342
members,disgust,0.627342
nationalists,disgust,0.627342
dupbrexit,,0
brexit,anger,0.368887
contention,anger,0.368887
union,anger,0.368887
eu,anger,0.368887
uk,anger,0.368887
backstop,anger,0.368887
cross-border bodies,fear,0.351418
brexit,,0
petition of concern,fear,0.351418
cross-commun,fear,0.351418
remarks,disgust,0.637121
leader,disgust,0.637121
amp,disgust,0.637121
members,disgust,0.637121
dupbrexit,,0
prime minister,joy,0.825426
new zealand,joy,0.825426
wonderful leader,joy,0.825426
healing,joy,0.825426
reconci,joy,0.825426
hard brexiteers,fear,0.826284
hope,fear,0.826284
people's vote,fear,0.826284
running,fear,0.826284
attitude of some tory mps,anger,0.693582
today,anger,0.693582
social security,disgust,0.681582
replacement,disgust,0.681582
welfare,disgust,0.681582
bbc,disgust,0.681582
government,disgust,0.681582
irish smugglers' brexit bonanza,,0
politics,sadness,0.376743
tweets,sadness,0.284447
first deal,anger,0.292993
deal,joy,0.323056
tak,joy,0.692377
brexiteer logic,anger,0.446589
parliament,disgust,0.377716
deal,disgust,0.377716
eu,sadness,0.227585
parliament,sadness,0.390194
form of brexit,sadness,0.390194
fault,sadness,0.390194
wto,sadness,0.472935
trade,sadness,0.472935
friends,sadness,0.472935
commonwealth,sadness,0.472935
commo,sadness,0.472935
damian green sums,disgust,0.361229
views of the nation,disgust,0.361229
stop brexit man,disgust,0.361229
orderly brexit,sadness,0.21457
chaos,anger,0.460455
votes,disgust,0.358924
mar,sadness,0.21457
parliament removes option of purest form of brexit,sadness,0.282256
clarification,,0
bad deal,sadness,0.63282
deal,sadness,0.63282
softer brexit,joy,0.249372
deal,joy,0.249372
looks,joy,0.249372
table,joy,0.249372
article,joy,0.249372
deal,fear,0.435901
chance,,0
suspect,fear,0.387712
tonight,,0
brexit,fear,0.351157
stick,fear,0.387712
brexiteer,fear,0.387712
erg mp,disgust,0.481167
brexit deal,sadness,0.640377
agreement tonight,disgust,0.481167
negotiab,sadness,0.640377
uk,disgust,0.25217
reminder,disgust,0.448186
clarification,disgust,0.25217
brexit,disgust,0.448186
shit,anger,0.376785
extending of the date,anger,0.376785
deal,anger,0.376785
table,anger,0.376785
leave,anger,0.376785
point,joy,0.307504
result,joy,0.307504
eligible voices,,0
democratic decision,fear,0.313355
referendum,fear,0.313355
good job leave,joy,0.852647
brexit,sadness,0.250817
tommy robinson,sadness,0.250817
trump,sadness,0.250817
farage,sadness,0.250817
important column,joy,0.828616
katie hopkins,sadness,0.250817
brexit,sadness,0.565538
glance guide,disgust,0.292114
contribution,disgust,0.292114
challenges,disgust,0.292114
opportunities of countyeconomies industrialstrategy brexit https,disgust,0.292114
county economies,fear,0.450916
study,fear,0.450916
industrial strategy,fear,0.450916
amp,fear,0.450916
brexit https,fear,0.450916
