keyword,emotion,score
legal case,joy,0.819368
pension,joy,0.774589
government,joy,0.819368
climate change,fear,0.30825
bbc,fear,0.30825
impartiality,fear,0.30825
brexit,fear,0.30825
parallels,fear,0.30825
brexit,anger,0.438089
recruitment,joy,0.608051
unis,anger,0.438089
brexit,sadness,0.493116
eu recruitment,sadness,0.493116
anti-brexit,sadness,0.491425
labour,disgust,0.571826
party,sadness,0.491425
case,disgust,0.571826
option,sadness,0.491425
eu,sadness,0.491229
british politics,joy,0.86066
salisbury-addison convention,,0
brexit,,0
houseoflords,,0
story of stanley baldwin shows,joy,0.469454
disaster,disgust,0.481637
government,disgust,0.481637
queensspeech2017,joy,0.469454
irish prime minister leo,sadness,0.301191
mike pence,sadness,0.301191
various forms of discrimination,sadness,0.301191
meeting,sadness,0.301191
thursday,sadness,0.301191
ht,,0
wellness economy,joy,0.623606
prime minister’s commitment,joy,0.803759
experts,,0
deal,,0
life simples,joy,0.803759
prepar,,0
today's baublesbullsandbears  head,fear,0.358585
private markets chris taylor,fear,0.358585
brexit road map,fear,0.358585
lawyer,disgust,0.241317
perjury,disgust,0.241317
referendum corruption,disgust,0.566045
reason,disgust,0.566045
a50,joy,0.414768
3rd vote,disgust,0.238741
arms,disgust,0.238741
irony alert,sadness,0.251494
brexit deal,disgust,0.238741
point of no return,joy,0.230129
brexit,joy,0.230129
tech start,joy,0.230129
scene,joy,0.230129
@level39cw,joy,0.230129
uk,joy,0.230129
meaningful vote,disgust,0.347719
votes,disgust,0.347719
nation brexit,sadness,0.245955
nation communism,sadness,0.245955
brexit,joy,0.255893
nation fascism,sadness,0.245955
wto brexit sign,sadness,0.288743
bloke,sadness,0.288743
parliament,sadness,0.288743
supranational body und,sadness,0.288743
care of the tories,disgust,0.675775
tories,disgust,0.675775
nobody,disgust,0.675775
amp,disgust,0.675775
brexit,disgust,0.675775
country,disgust,0.675775
relati,disgust,0.675775
pro-european campaign groups,sadness,0.474062
coaches,sadness,0.474062
stop brexit march,sadness,0.474062
saturda,sadness,0.474062
erg,disgust,0.307309
https://t.co/5v,,0
months of detailed analysis,sadness,0.375958
unconditional confirmation,,0
pm,,0
own government,sadness,0.375958
long time,sadness,0.379233
crime scene,sadness,0.379233
brexit999,joy,0.749425
illegal funding,anger,0.512118
brexit,joy,0.515232
abuses,anger,0.512118
brexit negotiations,joy,0.26546
showcase,joy,0.26546
confident internationalist uk,joy,0.26546
sanity of the pm,sadness,0.250614
disaster,disgust,0.440045
government,sadness,0.250614
legal status,joy,0.22041
reminder,joy,0.22041
brexit,joy,0.22041
deli,joy,0.232977
result,joy,0.22041
meaningful vote,sadness,0.237999
brexit deal,sadness,0.237999
theresa,sadness,0.237999
march,sadness,0.237999
day,sadness,0.237999
uk's richest man,joy,0.349585
company ineos,sadness,0.430481
brexiter jim ratcliffe moves,joy,0.349585
monaco,joy,0.349585
tax,joy,0.349585
awful pollution,sadness,0.430481
room,joy,0.738942
perfect soundtrack,joy,0.738942
soundtrack,joy,0.738942
day of brexit votes,joy,0.738942
tax havens,sadness,0.46631
public registers of britain,sadness,0.46631
parliament,sadness,0.46631
national secu,sadness,0.46631
disturbing development,disgust,0.442011
politicians,disgust,0.442011
constitution,disgust,0.442011
government,disgust,0.442011
headbangers,sadness,0.567778
delusion,,0
parliament,sadness,0.567778
deal,sadness,0.567778
ends,,0
last week,sadness,0.46668
belief,sadness,0.46668
extension of article,sadness,0.46668
ministers,sadness,0.46668
government,sadness,0.46668
pro-brexit,sadness,0.368562
courts,sadness,0.368562
labour,joy,0.344983
suppoof brexit,joy,0.344983
exercise,joy,0.344983
decline,joy,0.344983
prospect,sadness,0.524161
favourite magazines,joy,0.61994
brexit,sadness,0.524161
home,joy,0.61994
bbc,sadness,0.524161
german car manufacturers,,0
big message,joy,0.265925
deal,joy,0.265925
deal brexit,joy,0.392436
eu,joy,0.392436
uk,,0
corbyn,sadness,0.491035
weeks,sadness,0.491035
article,sadness,0.491035
deadline,sadness,0.491035
